Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10
Zona,cảm giác cháy,buồn nôn,phát ban đau,phỏng rộp,đau nhức,đau đầu,mệt mỏi,nhạy cảm với ánh sáng,ngứa,sốt
Rối loạn hình thể cơ thể,cảm giác không hài lòng với hình dáng cơ thể,trầm cảm,cảm giác căng thẳng,lo âu,khó kết nối xã hội,lo âu về cân nặng,,,,
Lạc nội mạc tử cung,mệt mỏi,rối loạn tiêu hóa,tiểu buốt,đau khi quan hệ,đau vùng chậu,,,,,
Viêm màng não,buồn nôn,lú lẫn,đau đầu dữ dội,sốt cao,đau cơ,sợ ánh sáng,mệt mỏi,cứng cổ,co giật,hôn mê
Sa sút trí tuệ,mất trí nhớ,mất khả năng hoàn thành công việc đơn giản,cảm giác lạc lõng,lúng túng trong giao tiếp,thay đổi tính cách,cảm giác bị mất kiểm soát,khó nhớ tên,khó khăn trong việc ra quyết định,khó nhận diện người thân,trầm cảm
Viêm khớp,yếu,đỏ xung quanh khớp,đau nhức,cứng khớp,nhiệt độ khớp,sưng tấy,mệt mỏi,giảm phạm vi vận động,biến dạng khớp,
COVID-19,sốt,nghẹt mũi,đau họng,mệt mỏi,khó thở,đau đầu,,,,
Viêm gan,buồn nôn,vàng da,đau khớp,nước tiểu sẫm màu,đau bụng,chán ăn,mệt mỏi,sốt,phân nhạt màu,đau cơ
Chán ăn,suy nhược cơ thể,cảm giác no ngay cả khi không ăn,buồn nôn,khó ngủ,mệt mỏi,cảm giác tội lỗi khi ăn,,,,
HIV/AIDS,ra mồ hôi ban đêm,buồn nôn,giảm cân,hạch bạch huyết sưng,ho khô kéo dài,phát ban da,đau đầu,mệt mỏi,tiêu chảy,sốt
Xơ gan,giảm cơ,tinh thần lú lẫn,xuất huyết,buồn nôn,bụng sưng to,mạch máu nổi rõ trên da,ngứa,mệt mỏi,sút cân,vàng da
Bệnh máu khó đông,đau khớp,chảy máu bất thường,mệt mỏi,chảy máu răng,đau bụng,sưng khớp,cảm giác nặng nề ở tay chân,chảy máu mũi,xuất huyết trong cơ,
Bệnh Huntington,trầm cảm,trí nhớ giảm sút,giảm cân,cử động không kiểm soát,khó nói,,,,,
Viêm dạ dày,đau bụng,chán ăn,chảy máu dạ dày,đau khi ăn,đau thượng vị,,,,,
Ung thư đại trực tràng,đau khi đi tiêu,thay đổi thói quen đi tiêu,mệt mỏi,màu phân thay đổi,tiêu chảy hoặc táo bón,khó tiêu,máu trong phân,nôn mửa,đau bụng,sút cân không rõ lý do
Hội chứng chân không yên,ngứa ran,đau rát,mất ngủ,cảm giác khó chịu ở chân,khó tập trung,,,,,
Ngộ độc thực phẩm,đau đầu,nôn mửa,mệt mỏi,sốt,đau bụng,,,,,
Viêm gan,đau bụng,sốt,phân nhạt màu,mệt mỏi,nước tiểu sẫm màu,vàng da,chán ăn,đau cơ,đau khớp,buồn nôn
Ung thư tụy,sốt,mất cảm giác thèm ăn,tiêu chảy,đau bụng,đau lưng,giảm cân không rõ lý do,khó thở,,,
Lupus ban đỏ hệ thống,chóng mặt,rụng tóc,mệt mỏi,đau khớp,đau ngực,,,,,
Cảm cúm,ho,mệt mỏi,đau đầu,sốt,đau họng,sổ mũi,nôn,,,
Thủy đậu,chán ăn,nốt phỏng,sốt,phát ban ngứa,rùng mình,mệt mỏi,đau đầu,đau họng,vảy,đau cơ
Bệnh phong,mất cảm giác,vấn đề về mắt,tắc nghẽn mũi,sưng,da đổi màu,tê,,,,
Rối loạn hình thể cơ thể,khó kết nối xã hội,trầm cảm,thường xuyên so sánh bản thân với người khác,vấn đề với tự nhận thức cơ thể,rối loạn ăn uống,cảm giác không hài lòng với hình dáng cơ thể,suy nghĩ quá nhiều về ngoại hình,lo âu về cân nặng,cảm giác căng thẳng,lo âu
Viêm tụy mạn tính,nôn,đầy hơi,mỡ trong phân,đau bụng dai dẳng,đau lưng,sụt cân,chán ăn,,,
Ung thư tuyến tiền liệt,sút cân nhanh,đau vùng lưng dưới,rối loạn cương dương,máu trong nước tiểu,buồn nôn,,,,,
Lupus ban đỏ hệ thống,chóng mặt,khó thở,viêm màng phổi,mệt mỏi,da sạm,rụng tóc,,,,
HIV,khó thở,chán ăn,sút cân,sốt,viêm hạch bạch huyết,đổ mồ hôi ban đêm,phát ban,mệt mỏi,đau cơ,
Trầm cảm,cảm giác vô vọng,mệt mỏi,không có hứng thú với các hoạt động,nghĩ đến cái chết,khó ngủ,suy nghĩ tiêu cực,,,,
Viêm ruột thừa,buồn nôn,cảm giác no bụng,tiêu chảy hoặc táo bón,nôn mửa,khó tiêu,đau bụng,sốt,mệt mỏi,đau vùng bụng dưới bên phải,
Rối loạn ám ảnh cưỡng chế (OCD),lo ngại về sự không sạch sẽ,không thể ngừng suy nghĩ về một điều gì đó,lặp lại hành động hoặc suy nghĩ,sợ hãi không kiểm soát được,mặc cảm tội lỗi,lo lắng quá mức,mất thời gian vào suy nghĩ tiêu cực,cảm giác cần phải làm theo một cách cụ thể,,
Suy tim,khó thở,mệt mỏi,chán ăn,tăng cân,sưng phù,khó tập thể dục,tiểu thường xuyên,,,
Thai ngoài tử cung,mệt mỏi,đau bụng dữ dội,thở dốc,chậm kinh,đau khi ho,chóng mặt,cảm giác nặng bụng,ra máu âm đạo,buồn nôn,đau khi đi vệ sinh
Bệnh Behçet,phát ban,loét sinh dục,sưng khớp,đau bụng,sốt,đau cơ,lở loét miệng,,,
Virus papilloma người (HPV),mệt mỏi,phát ban,mẩn đỏ,sút cân,sưng nhẹ,,,,,
Viêm ruột thừa,đau vùng bụng dưới bên phải,đau khi ho hoặc di chuyển,cảm giác no bụng,mệt mỏi,nôn mửa,tiêu chảy hoặc táo bón,đau bụng,sốt,khó tiêu,buồn nôn
Đột quỵ,yếu một bên cơ thể,chóng mặt,tê bì đột ngột,khó nhìn,mơ hồ,khó nuốt,khó đi lại,mất phối hợp,đau đầu dữ dội,
Ung thư vú,khối u trong vú,mệt mỏi,chảy dịch từ vú,sưng hạch bạch huyết ở nách,đau khi chạm vào vú,thay đổi màu sắc da quanh vú,,,,
Hội chứng Guillain-Barré,giảm phản xạ,mất khả năng vận động,đau lưng,yếu cơ,cảm giác kim châm trên da,đau cơ,khó thở,mất cảm giác ở tay và chân,sốt,tê tay chân
Virus papilloma người (HPV),mụn cóc sinh dục,mệt mỏi,phát ban,đau khi quan hệ,nốt sần,đau bụng,sưng nhẹ,,,
Thiếu máu,đau cơ,lạnh tay chân,da nhợt nhạt,chóng mặt,thở nhanh,đau ngực,tim đập nhanh,nhức đầu,,
Sốt thấp khớp,buồn nôn,viêm tim,chóng mặt,mệt mỏi,đau khớp,phát ban,khó thở,đau cơ,sốt,viêm họng
Trào ngược dạ dày thực quản,cảm giác nóng rát,khó thở,đầy hơi,khó ngủ,đau họng,đau ngực,,,,
Tiêu chảy,thường xuyên phải đi vệ sinh,mệt mỏi,khó chịu,đau bụng,đau khi đi tiêu,mất nước,,,,
Viêm gan,đau cơ,nước tiểu sẫm màu,buồn nôn,đau bụng,phân nhạt màu,mệt mỏi,chán ăn,,,
Viêm khớp,cứng khớp,mệt mỏi,đau nhức,biến dạng khớp,nhiệt độ khớp,sưng tấy,giảm phạm vi vận động,yếu,đỏ xung quanh khớp,đau khớp
Uốn ván,đau họng,khó mở miệng,cứng cơ,ra mồ hôi,khó nuốt,,,,,
Bệnh Alzheimer,khó lập kế hoạch,mất đồ đạc,thay đổi tâm trạng,mơ hồ,lạc hướng,khó giải quyết vấn đề,rút lui khỏi các hoạt động xã hội,mất trí nhớ,không nhận ra nơi quen thuộc,thay đổi tính cách
Sởi,đau cơ,phát ban,đốm trắng trong miệng,mệt mỏi,ho,chán ăn,sổ mũi,đau họng,viêm kết mạc,sốt
Virus papilloma người (HPV),mẩn đỏ,đau khi quan hệ,phát ban,sưng nhẹ,nốt sần,ngứa,đau bụng,mệt mỏi,sút cân,mụn cóc sinh dục
Virus papilloma người (HPV),ngứa,sưng nhẹ,đau khi quan hệ,mẩn đỏ,mụn cóc sinh dục,nốt sần,phát ban,đau bụng,mệt mỏi,
U ác tính,ho kéo dài,đau ngực,mệt mỏi,giảm cân không rõ lý do,đau,khó nuốt,khó thở,,,
Lo âu,khó ngủ,run rẩy,hồi hộp,đau đầu,lo lắng thái quá,,,,,
Chân vận động viên,vết nứt da,mùi hôi chân,sưng và đỏ lòng bàn chân,sưng tấy,da bong tróc,vảy da,da đỏ,đau khi đi,châm chích,
Mumps,sưng tuyến nước bọt,mệt mỏi,sốt,đau họng,nuốt đau,đau nhức,đau cơ,đau đầu,sưng tinh hoàn,
Ung thư tinh hoàn,khối u ở tinh hoàn,đau khi quan hệ,thay đổi hình dáng tinh hoàn,mệt mỏi,buồn nôn,đau lưng,khó thở,,,
Loét dạ dày tá tràng,chảy máu dạ dày,đầy hơi,buồn nôn,sút cân,cảm giác nóng rát,khó tiêu,tiêu chảy,nôn mửa,chán ăn,
Bulimia,sử dụng thuốc nhuận tràng,trầm cảm,thay đổi trọng lượng cơ thể,nôn mửa,lo âu về hình dáng cơ thể,,,,,
Ung thư cổ tử cung,chảy máu âm đạo bất thường,tiết dịch âm đạo bất thường,sưng chân,giảm cân,mệt mỏi,tiểu đau,đau vùng chậu,,,
Viêm loét đại tràng,thiếu máu,mũi trong phân,mệt mỏi,tiêu chảy có máu,đau trực tràng,tăng tần suất đi vệ sinh,giảm cân,,,
Thiếu máu,sút cân,mệt mỏi,đau cơ,nhức đầu,lạnh tay chân,chóng mặt,,,,
Gout,mệt mỏi,tiểu gắt,đau lưng,đau khớp đột ngột,buồn nôn,sút cân,đỏ da quanh khớp,,,
Bệnh máu khó đông,sưng khớp,cảm giác nặng nề ở tay chân,xuất huyết trong cơ,chảy máu răng,đau khớp,đau bụng,,,,
Suy giáp,phù mặt,da khô,chậm nhịp tim,khó chịu với lạnh,kinh nguyệt không đều,,,,,
Thủy đậu,đau họng,chán ăn,đau cơ,phát ban ngứa,vảy,mệt mỏi,nốt phỏng,rùng mình,sốt,
Bệnh Lyme,tim đập nhanh,phát ban hình mắt bò,mệt mỏi,đau đầu,tê tay chân,sốt,cứng cổ,đau khớp,,
Vô sinh,đau bụng,chậm kinh,tăng cân,cảm giác trầm cảm,sút cân,rối loạn kinh nguyệt,khó thụ thai,rối loạn nội tiết,đau khi quan hệ,vô cảm xúc
Virus Zika,đau cơ,đau đầu,sốt,buồn nôn,đau khớp,viêm kết mạc,,,,
Sốt thương hàn,yếu,sốt,đau bụng,phát ban,đau cơ,,,,,
Viêm phổi,mơ hồ,ho,môi hoặc ngón tay màu xanh,buồn nôn,đau ngực,rùng mình,sốt,,,
Bệnh Myasthenia,đau cơ,khó thở,yếu cơ mặt,khó ngủ,mệt mỏi,yếu khi mệt mỏi,,,,
Chân vận động viên,vảy da,mùi hôi chân,đau khi đi,da bong tróc,ngứa giữa các ngón chân,vết nứt da,,,,
Chán ăn,cảm giác tội lỗi khi ăn,cảm giác no ngay cả khi không ăn,mệt mỏi,suy nhược cơ thể,chóng mặt,buồn nôn,khó ngủ,mất tự tin,mất cảm giác thèm ăn,
Viêm loét đại tràng,mệt mỏi,mũi trong phân,tiêu chảy có máu,sốt,thiếu máu,tăng tần suất đi vệ sinh,,,,
Bệnh bạch cầu,sốt,đau xương,hạch bạch huyết sưng,giảm cân không rõ lý do,nhiễm trùng thường xuyên,đau bụng,ra mồ hôi đêm,da tái nhợt,,
Ung thư vú,thay đổi màu sắc da quanh vú,mệt mỏi,sưng hạch bạch huyết ở nách,thay đổi kích thước hoặc hình dạng vú,khối u trong vú,đau khi chạm vào vú,đau vú,chảy dịch từ vú,cảm giác nặng nề,
Sốt xuất huyết,đau khớp,đau cơ,đau đầu dữ dội,hạch bạch huyết sưng,sốt,mệt mỏi,đau sau mắt,nôn,phát ban,
Rối loạn hình thể cơ thể,vấn đề với tự nhận thức cơ thể,thường xuyên so sánh bản thân với người khác,suy nghĩ quá nhiều về ngoại hình,khó kết nối xã hội,cảm giác căng thẳng,rối loạn ăn uống,lo âu,lo âu về cân nặng,,
Viêm tụy mạn tính,nôn,suy dinh dưỡng,đau bụng dai dẳng,chán ăn,tiêu chảy,,,,,
Tiêu chảy,mệt mỏi,mất nước,đau khi đi tiêu,sốt,đau bụng,khó chịu ở bụng,thường xuyên phải đi vệ sinh,nôn mửa,,
Ung thư bàng quang,tiểu ra máu,sút cân,buồn nôn,đau xương chậu,đau khi tiểu,đi tiểu thường xuyên,mệt mỏi,khó tiểu,đau lưng dưới,
Viêm dạ dày,chán ăn,buồn nôn,chảy máu dạ dày,nôn mửa,đau thượng vị,đau khi ăn,cảm giác nặng bụng,tiêu chảy,đau bụng,
Thoái hóa khớp,sưng tấy,đỏ xung quanh khớp,đau khớp,lạo xạo trong khớp,đau buổi sáng,đau dai dẳng,yếu cơ,mệt mỏi,giảm khả năng vận động,
Cảm cúm,đau họng,nôn,nghẹt mũi,ho,mệt mỏi,đau cơ,rùng mình,sổ mũi,đau đầu,
Ung thư buồng trứng,mệt mỏi,chảy máu âm đạo bất thường,đau khi quan hệ,tiểu nhiều hoặc tiểu khó,sút cân không rõ lý do,buồn nôn,,,,
Thủy đậu,đau họng,sốt,rùng mình,mệt mỏi,đau đầu,đau cơ,vảy,,,
Viêm phổi,nôn,khó thở,mơ hồ,ho,buồn nôn,môi hoặc ngón tay màu xanh,mệt mỏi,đau ngực,,
Hội chứng buồng trứng đa nang (PCOS),da dầu,mụn trứng cá,vấn đề về da,kinh nguyệt không đều,mọc nhiều lông,tăng cân,rối loạn nội tiết,rối loạn tâm lý,đau bụng,
Lạc nội mạc tử cung,đau khi đi tiểu,đau khi quan hệ,đau vùng chậu,tiểu buốt,đau lưng,rối loạn tiêu hóa,kinh nguyệt không đều,đau bụng,chảy máu giữa kỳ kinh,
Thai ngoài tử cung,chậm kinh,buồn nôn,thở dốc,ra máu âm đạo,đau bụng dữ dội,,,,,
HIV,phát ban,khó thở,đau họng,đau cơ,sốt,mệt mỏi,,,,
Xơ gan,mệt mỏi,tinh thần lú lẫn,buồn nôn,vàng da,giảm cơ,bụng sưng to,ngứa,mạch máu nổi rõ trên da,,
Ung thư tuyến giáp,tim đập nhanh,da khô,thay đổi giọng nói,rối loạn giấc ngủ,đau cổ,mệt mỏi,sút cân,khó thở,,
Mumps,mệt mỏi,đau nhức,đau họng,sưng tinh hoàn,sưng tuyến nước bọt,đau cơ,chán ăn,sốt,,
Bệnh Alzheimer,mơ hồ,mất trí nhớ,mất đồ đạc,không nhận ra nơi quen thuộc,lạc hướng,khó lập kế hoạch,khó giải quyết vấn đề,thay đổi tính cách,,
Nấm da,đau khi chạm vào,mẩn đỏ,da khô,tạo vết nứt,ngứa da,vảy da,lở loét,sưng da,vết thương lâu lành,
Psoriasis,tăng mảng vảy,mệt mỏi,mẩn đỏ,da khô,đau khớp,vết sưng da,,,,
Xơ nang,da có vị mặn,vấn đề tiêu hóa,khó tăng cân,ho ra đờm đặc,ho mãn tính,khó thở,nhiễm trùng xoang thường xuyên,tăng trưởng kém,,
Bệnh Parkinson,thay đổi giọng nói,vấn đề cân bằng,cúi người,đi bộ lê từng bước,cứng cơ,chuột rút cơ,,,,
Loãng xương,dáng cong,đau lưng,yếu cơ,khó đi lại,đau cổ,mỏi cơ,,,,
Viêm màng não,co giật,đau cơ,lú lẫn,mệt mỏi,hôn mê,đau đầu dữ dội,sợ ánh sáng,sốt cao,cứng cổ,buồn nôn
Lo âu,mệt mỏi,run rẩy,lo lắng thái quá,khó ngủ,đau ngực,hồi hộp,,,,
Chán ăn,giảm cân nhanh,cảm giác tội lỗi khi ăn,suy nhược cơ thể,cảm giác no ngay cả khi không ăn,mất cảm giác thèm ăn,buồn nôn,khó ngủ,mệt mỏi,mất tự tin,chóng mặt
Bệnh Behçet,đau cơ,loét sinh dục,lở loét miệng,giảm trí nhớ,đau bụng,phát ban,,,,
Ngộ độc thực phẩm,sút cân,nôn mửa,đau bụng,đau đầu,sốt,mệt mỏi,khó tiêu,đầy hơi,,
Rối loạn hoảng sợ,đột ngột cảm giác sợ hãi,mệt mỏi,mồ hôi vã ra,cảm giác choáng váng,buồn nôn,run rẩy,cảm giác tê liệt,,,
Xơ vữa động mạch,rối loạn trí nhớ,tê,vấn đề về thị lực,chuột rút cơ,cảm giác ngứa,mờ mắt,mệt mỏi,,,
Tiêu chảy,khó chịu ở bụng,mất nước,đau bụng,khó chịu,mệt mỏi,tiêu chảy kéo dài,,,,
Lupus,chán ăn,viêm phổi,đau ngực,sốt,cảm giác lạnh,phát ban mặt,,,,
Viêm tụy mạn tính,tiêu chảy,đau bụng dai dẳng,buồn nôn,đau lưng,sụt cân,suy dinh dưỡng,mỡ trong phân,đầy hơi,chán ăn,
Thủy đậu,đau cơ,nốt phỏng,sốt,vảy,chán ăn,phát ban ngứa,rùng mình,đau đầu,đau họng,mệt mỏi
Tiêu chảy,mệt mỏi,đau bụng,khó chịu ở bụng,khó chịu,thường xuyên phải đi vệ sinh,tiêu chảy kéo dài,mất nước,đau khi đi tiêu,nôn mửa,sốt
Bệnh gan,buồn nôn,ngứa,phân nhạt màu,chán ăn,mệt mỏi,,,,,
Trầm cảm,cảm giác có lỗi,sút cân hoặc tăng cân,suy nghĩ tiêu cực,khó ngủ,mệt mỏi,giảm khả năng tập trung,cảm giác vô vọng,nghĩ đến cái chết,buồn bã,không có hứng thú với các hoạt động
HIV,đau họng,chán ăn,đổ mồ hôi ban đêm,đau cơ,phát ban,mệt mỏi,viêm hạch bạch huyết,sút cân,khó thở,
HIV/AIDS,phát ban da,hạch bạch huyết sưng,đau đầu,sốt,buồn nôn,,,,,
Bệnh Wilson,khó nuốt,run tay,đau bụng,vòng Kayser-Fleischer,mất thăng bằng,rối loạn vận động,,,,
Ung thư nội mạc tử cung,mệt mỏi,khó tiêu,sút cân,ra máu âm đạo bất thường,vàng da,đau xương chậu,đau khi quan hệ,đau lưng,đau bụng dưới,
Ngưng thở khi ngủ,buồn ngủ ban ngày,tiếng thở rít khi ngủ,khô miệng khi thức dậy,thở dốc khi ngủ,tỉnh giấc đột ngột,khó tập trung,đau đầu,,,
Tăng huyết áp,mơ hồ,khó thở,đau ngực,chảy máu cam,đau đầu,mệt mỏi,chóng mặt,,,
Đột quỵ,chóng mặt,đau đầu dữ dội,mơ hồ,mất phối hợp,khó nhìn,tê bì đột ngột,,,,
Thủy đậu,sốt,đau đầu,phát ban ngứa,mệt mỏi,chán ăn,rùng mình,,,,
Schizophrenia,cảm giác lạc lõng,lú lẫn,thay đổi hành vi,hoang tưởng,mất hứng thú,khó tập trung,trầm cảm,thất vọng,,
Rối loạn hoảng sợ,buồn nôn,khó thở,mệt mỏi,đau ngực,rối loạn nhịp tim,,,,,
Viêm não,nôn mửa,co giật,cứng cổ,suy giảm nhận thức,mất cân bằng,sốt cao,chóng mặt,,,
Bệnh phổi tắc nghẽn mãn tính (COPD),sút cân,mệt mỏi,ho có đờm,tiếng thở có âm thanh,đau ngực,thở nhanh,khó thở khi gắng sức,,,
Zona,phát ban đau,buồn nôn,đau đầu,phỏng rộp,ngứa,mệt mỏi,,,,
Viêm ruột thừa,đau vùng bụng dưới bên phải,cảm giác no bụng,sốt,buồn nôn,đau khi ho hoặc di chuyển,nôn mửa,khó tiêu,tiêu chảy hoặc táo bón,mệt mỏi,
Mụn,mụn gây sưng đỏ,ngứa,mụn bọc,mụn mủ,vết thâm sau mụn,da dầu,mụn trứng cá,mụn đầu đen,mụn viêm,
